{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[100/100] D: 0.50|G: 3.23|Recon: 1.25|Consis: 0.54|Content: 3.04|Style: 9.32|T: 4.03|| M2MM: 0.25|MM2M: 10.95| experiment_name
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[1/1000] D: 1.40|G: 1.00|Recon: 9.46|Consis: 1.86|Content: 12.98|Style: 102.04|T: 9.34|| M2MM: 0.00|MM2M: 0.00| experiment_name
[2/1000] D: 1.31|G: 0.95|Recon: 9.61|Consis: 1.75|Content: 12.08|Style: 33.13|T: 9.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[3/1000] D: 1.12|G: 0.92|Recon: 9.58|Consis: 1.75|Content: 9.27|Style: 19.22|T: 9.31|| M2MM: 0.00|MM2M: 0.00| experiment_name
[4/1000] D: 0.83|G: 1.16|Recon: 9.56|Consis: 1.68|Content: 8.81|Style: 17.53|T: 9.16|| M2MM: 0.00|MM2M: 0.00| experiment_name
[5/1000] D: 0.74|G: 1.48|Recon: 9.50|Consis: 1.61|Content: 8.12|Style: 15.83|T: 9.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[6/1000] D: 0.54|G: 3.82|Recon: 9.47|Consis: 1.60|Content: 7.41|Style: 14.57|T: 9.12|| M2MM: 0.00|MM2M: 0.00| experiment_name
[7/1000] D: 0.28|G: 14.05|Recon: 9.34|Consis: 1.53|Content: 6.93|Style: 13.93|T: 9.24|| M2MM: 0.00|MM2M: 0.00| experiment_name
[8/1000] D: 4.32|G: 4.03|Recon: 9.26|Consis: 1.49|Content: 6.73|Style: 15.21|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[9/1000] D: 0.89|G: 7.16|Recon: 9.20|Consis: 1.44|Content: 6.46|Style: 12.99|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[10/1000] D: 0.64|G: 7.66|Recon: 9.05|Consis: 1.39|Content: 6.00|Style: 13.13|T: 9.08|| M2MM: 0.00|MM2M: 0.00| experiment_name
[11/1000] D: 0.49|G: 1.08|Recon: 8.96|Consis: 1.36|Content: 5.81|Style: 12.80|T: 9.15|| M2MM: 0.00|MM2M: 0.00| experiment_name
[12/1000] D: 1.06|G: 2.68|Recon: 8.89|Consis: 1.30|Content: 5.78|Style: 13.66|T: 8.98|| M2MM: 0.00|MM2M: 0.00| experiment_name
[13/1000] D: 0.33|G: 3.18|Recon: 8.76|Consis: 1.28|Content: 5.40|Style: 13.29|T: 8.95|| M2MM: 0.00|MM2M: 0.00| experiment_name
[14/1000] D: 0.38|G: 3.78|Recon: 8.70|Consis: 1.24|Content: 5.21|Style: 13.55|T: 9.06|| M2MM: 0.00|MM2M: 0.00| experiment_name
[15/1000] D: 0.36|G: 4.72|Recon: 8.65|Consis: 1.24|Content: 5.52|Style: 13.89|T: 8.80|| M2MM: 0.00|MM2M: 0.00| experiment_name
